udp://@239.255.2.122:1234|Первый канал
udp://@239.255.2.123:1234|Россия 1
udp://@239.255.2.101:1234|Матч ТВ
udp://@239.255.2.116:1234|НТВ
udp://@239.255.2.64:1234|Пятый канал
udp://@239.255.2.102:1234|Россия 24
udp://@239.255.2.60:1234|Россия К
udp://@239.255.2.3:1234|Карусель
udp://@239.255.2.22:1234|ОТР
udp://@239.255.2.88:1234|ТВ Центр
udp://@239.255.2.68:1234|РЕН-Урал
udp://@239.255.3.76:1234|Спас
udp://@239.255.2.32:1234|СТС-Урал
udp://@239.255.2.15:1234|Домашний
udp://@239.255.2.81:1234|ТВ3
udp://@239.255.2.16:1234|ПЯТНИЦА
udp://@239.255.2.180:1234|Звезда
udp://@239.255.2.40:1234|Мир
udp://@239.255.2.114:1234|ТНТ
udp://@239.255.2.39:1234|МУЗ - ТВ
udp://@239.255.2.124:1234|ОТВ
udp://@239.255.2.125:1234|Четвертый канал
udp://@239.255.3.107:1234|Shop and Show
udp://@239.255.3.169:1234|Ювелирoчка
udp://@239.255.2.240:1234|VitrinaTV
udp://@239.255.2.111:1234|Суббота!
udp://@239.255.3.70:1234|Shopping Live
udp://@239.255.2.254:1234|Home Shopping Russia
udp://@239.255.2.1:1234|Disney
udp://@239.255.2.4:1234|2x2
udp://@239.255.2.208:1234|КРИК - ТВ
udp://@239.255.2.155:1234|Ю-ТВ
udp://@239.255.2.33:1234|Че
udp://@239.255.2.13:1234|Матч! Страна
udp://@239.255.2.210:1234|СТС love
udp://@239.255.2.29:1234|Союз
udp://@239.255.3.83:1234|Эра-ТВ
udp://@239.255.3.84:1234|Тагил-ТВ
udp://@239.255.3.2:1234|Смайл-ТВ
udp://@239.255.3.67:1234|Контрольная закупка
udp://@239.255.3.112:1234|TVMChannel
udp://@239.255.3.95:1234|Министерство идей
udp://@239.255.2.165:1234|Победа
udp://@239.255.2.30:1234|Студия 41
udp://@239.255.3.207:1234|Мосфильм. Золотая коллекция
udp://@239.255.3.210:1234|НТВ-ХИТ
udp://@239.255.3.209:1234|Реальный Тагил
udp://@239.255.2.80:1234|Nick Toons
